Predictor,Outcome,Estimate,Std. Error,p-value,CI_lower,CI_upper,Significant (p<0.05)
Intercept,APACS (theory-driven),1.762731913345299,0.20011286987577345,1.2661862850819333e-18,1.3705178955458326,2.1549459311447654,True
n400_lat,APACS (theory-driven),-0.001730135972367199,0.00046949403579411424,0.0002286061691251302,-0.0026503273734800217,-0.0008099445712543761,True
n400_amp,APACS (theory-driven),0.023179982144959657,0.007860148045872805,0.0031875075469227714,0.007774375061896075,0.03858558922802324,True
age,APACS (theory-driven),-0.005513270260025227,0.0008454978967663197,6.996230109484501e-11,-0.007170415686691578,-0.0038561248333588757,True
Intercept,Attentive Matrices (kitchen-sink),-36.90762210701726,48.08417925552223,0.4427470338785884,-131.15088167400882,57.33563745997429,False
p300_lat,Attentive Matrices (kitchen-sink),-0.04595657932520025,0.0730069393664284,0.5290333241045782,-0.18904755110489938,0.09713439245449887,False
p300_amp,Attentive Matrices (kitchen-sink),3.8337135665462747,0.6439711402781579,2.6288830327676994e-09,2.571553324517894,5.095873808574655,True
n400_lat,Attentive Matrices (kitchen-sink),0.07046515156812738,0.07382882680094056,0.33986119911668655,-0.07423668998256161,0.21516699311881637,False
n400_amp,Attentive Matrices (kitchen-sink),-0.6782951320683159,1.2277575672387362,0.5806286652700792,-3.0846557456027526,1.728065481466121,False
age,Attentive Matrices (kitchen-sink),-0.6580998767285238,0.14692163460814198,7.490302853563018e-06,-0.9460609891102356,-0.3701387643468119,True
sex,Attentive Matrices (kitchen-sink),-0.6761344601800641,2.2604485947830404,0.7648521737475413,-5.106532294858998,3.75426337449887,False
criq,Attentive Matrices (kitchen-sink),0.6194921040478576,0.10603527146464932,5.1478457025565725e-09,0.4116667908862172,0.8273174172094979,True
Intercept,Attentive Matrices (parsimonious),-24.4865176885141,15.389746129673952,0.11158864253443246,-54.649865833889734,5.676830456861538,False
p300_amp,Attentive Matrices (parsimonious),3.819684298962322,0.5805704949046835,4.730141478747253e-11,2.6817870384625477,4.957581559462096,True
age,Attentive Matrices (parsimonious),-0.6679284839014559,0.12014827006382604,2.7101114293673253e-08,-0.9034147660313468,-0.4324422017715649,True
criq,Attentive Matrices (parsimonious),0.6033339274451577,0.09120235041980292,3.707160321014081e-11,0.42458060531694247,0.7820872495733728,True
